hand_num,stakes,date,table,max_players,button,players,start,preflop,flop
240969710083,$2.50/$5.00 USD,2023/01/07 2:39:00 ET,Ancha II,9,3,"
Seat 1: kelele45 ($514.50 in chips)
Seat 2: ljryviltj ($500 in chips)
Seat 3: oledgyk ($500 in chips)
Seat 4: RAidakCo ($818.30 in chips)
Seat 5: typ6oky3mu4 ($500 in chips)
Seat 8: spzilla ($477 in chips)
Seat 9: pelyatww ($500 in chips)","
Seat 9: pelyatww ($500 in chips)","
RAidakCo: posts small blind $2.50
typ6oky3mu4: posts big blind $5
AlexeSsz: sits out
PokerStarJ2: sits out
kelele45: posts the ante $1
ljryviltj: posts the ante $1
oledgyk: posts the ante $1
RAidakCo: posts the ante $1
typ6oky3mu4: posts the ante $1
spzilla: posts the ante $1
pelyatww: posts the ante $1","
pelyatww: posts the ante $1"
240969716803,$2.50/$5.00 USD,2023/01/07 2:39:57 ET,Ancha II,9,4,"
Seat 1: kelele45 ($513.50 in chips)
Seat 2: ljryviltj ($500 in chips)
Seat 3: oledgyk ($500 in chips)
Seat 4: RAidakCo ($814.80 in chips)
Seat 5: typ6oky3mu4 ($500 in chips)
Seat 6: AlexeSsz ($500 in chips)
Seat 8: spzilla ($533.39 in chips)
Seat 9: pelyatww ($500 in chips)","
Seat 9: pelyatww ($500 in chips)","
typ6oky3mu4: posts small blind $2.50
AlexeSsz: posts big blind $5
PokerStarJ2: sits out
kelele45: posts the ante $1
ljryviltj: posts the ante $1
oledgyk: posts the ante $1
RAidakCo: posts the ante $1
typ6oky3mu4: posts the ante $1
AlexeSsz: posts the ante $1
spzilla: posts the ante $1
pelyatww: posts the ante $1","
pelyatww: posts the ante $1"
240969728630,$2.50/$5.00 USD,2023/01/07 2:41:38 ET,Ancha II,9,6,"
Seat 1: kelele45 ($593 in chips)
Seat 2: ljryviltj ($500 in chips)
Seat 3: oledgyk ($500 in chips)
Seat 4: RAidakCo ($766.30 in chips)
Seat 5: typ6oky3mu4 ($500 in chips)
Seat 6: AlexeSsz ($500 in chips)
Seat 7: PokerStarJ2 ($523 in chips)
Seat 8: spzilla ($508.89 in chips)
Seat 9: pelyatww ($500 in chips)","
Seat 9: pelyatww ($500 in chips)","
PokerStarJ2: posts small blind $2.50
spzilla: posts big blind $5
kelele45: posts the ante $1
ljryviltj: posts the ante $1
oledgyk: posts the ante $1
RAidakCo: posts the ante $1
typ6oky3mu4: posts the ante $1
AlexeSsz: posts the ante $1
PokerStarJ2: posts the ante $1
spzilla: posts the ante $1
pelyatww: posts the ante $1","
pelyatww: posts the ante $1"
240969738876,$2.50/$5.00 USD,2023/01/07 2:43:05 ET,Ancha II,9,8,"
Seat 1: kelele45 ($591 in chips)
Seat 2: ljryviltj ($500 in chips)
Seat 3: oledgyk ($500 in chips)
Seat 4: RAidakCo ($764.30 in chips)
Seat 5: typ6oky3mu4 ($500 in chips)
Seat 6: AlexeSsz ($515.50 in chips)
Seat 7: PokerStarJ2 ($518.50 in chips)
Seat 8: spzilla ($545.65 in chips)
Seat 9: pelyatww ($500 in chips)","
Seat 9: pelyatww ($500 in chips)","
pelyatww: posts small blind $2.50
kelele45: posts big blind $5
kelele45: posts the ante $1
ljryviltj: posts the ante $1
oledgyk: posts the ante $1
RAidakCo: posts the ante $1
typ6oky3mu4: posts the ante $1
AlexeSsz: posts the ante $1
PokerStarJ2: posts the ante $1
spzilla: posts the ante $1
pelyatww: posts the ante $1","
pelyatww: posts the ante $1"
240969744943,$2.50/$5.00 USD,2023/01/07 2:43:57 ET,Ancha II,9,9,"
Seat 1: kelele45 ($577.50 in chips)
Seat 2: ljryviltj ($500 in chips)
Seat 3: oledgyk ($500 in chips)
Seat 4: RAidakCo ($763.30 in chips)
Seat 5: typ6oky3mu4 ($500 in chips)
Seat 6: AlexeSsz ($514.50 in chips)
Seat 7: PokerStarJ2 ($517.50 in chips)
Seat 8: spzilla ($578.70 in chips)
Seat 9: pelyatww ($500 in chips)","
Seat 9: pelyatww ($500 in chips)","
kelele45: posts small blind $2.50
ljryviltj: posts big blind $5
kelele45: posts the ante $1
ljryviltj: posts the ante $1
oledgyk: posts the ante $1
RAidakCo: posts the ante $1
typ6oky3mu4: posts the ante $1
AlexeSsz: posts the ante $1
PokerStarJ2: posts the ante $1
spzilla: posts the ante $1
pelyatww: posts the ante $1","
pelyatww: posts the ante $1"
240969758186,$2.50/$5.00 USD,2023/01/07 2:45:49 ET,Ancha II,9,3,"
Seat 1: kelele45 ($572 in chips)
Seat 2: ljryviltj ($500 in chips)
Seat 3: oledgyk ($507 in chips)
Seat 4: RAidakCo ($655.91 in chips)
Seat 5: typ6oky3mu4 ($500 in chips)
Seat 6: AlexeSsz ($511.50 in chips)
Seat 7: PokerStarJ2 ($654.89 in chips)
Seat 8: spzilla ($575.70 in chips)
Seat 9: pelyatww ($500 in chips)","
Seat 9: pelyatww ($500 in chips)","
RAidakCo: posts small blind $2.50
typ6oky3mu4: posts big blind $5
kelele45: posts the ante $1
ljryviltj: posts the ante $1
oledgyk: posts the ante $1
RAidakCo: posts the ante $1
typ6oky3mu4: posts the ante $1
AlexeSsz: posts the ante $1
PokerStarJ2: posts the ante $1
spzilla: posts the ante $1
pelyatww: posts the ante $1","
pelyatww: posts the ante $1"
240969771193,$2.50/$5.00 USD,2023/01/07 2:47:40 ET,Ancha II,9,6,"
Seat 1: kelele45 ($647 in chips)
Seat 2: ljryviltj ($500 in chips)
Seat 3: oledgyk ($504 in chips)
Seat 4: RAidakCo ($650.41 in chips)
Seat 5: typ6oky3mu4 ($527.04 in chips)
Seat 6: AlexeSsz ($501 in chips)
Seat 7: PokerStarJ2 ($622.87 in chips)
Seat 8: spzilla ($572.70 in chips)
Seat 9: pelyatww ($500 in chips)","
Seat 9: pelyatww ($500 in chips)","
PokerStarJ2: posts small blind $2.50
spzilla: posts big blind $5
kelele45: posts the ante $1
ljryviltj: posts the ante $1
oledgyk: posts the ante $1
RAidakCo: posts the ante $1
typ6oky3mu4: posts the ante $1
AlexeSsz: posts the ante $1
PokerStarJ2: posts the ante $1
spzilla: posts the ante $1
pelyatww: posts the ante $1","
pelyatww: posts the ante $1"
240969777066,$2.50/$5.00 USD,2023/01/07 2:48:29 ET,Ancha II,9,7,"
Seat 1: kelele45 ($646 in chips)
Seat 2: ljryviltj ($500 in chips)
Seat 3: oledgyk ($503 in chips)
Seat 4: RAidakCo ($649.41 in chips)
Seat 5: typ6oky3mu4 ($502.10 in chips)
Seat 6: AlexeSsz ($500 in chips)
Seat 7: PokerStarJ2 ($619.37 in chips)
Seat 8: spzilla ($604.17 in chips)
Seat 9: pelyatww ($500 in chips)","
Seat 9: pelyatww ($500 in chips)","
spzilla: posts small blind $2.50
pelyatww: posts big blind $5
kelele45: posts the ante $1
ljryviltj: posts the ante $1
oledgyk: posts the ante $1
RAidakCo: posts the ante $1
typ6oky3mu4: posts the ante $1
AlexeSsz: posts the ante $1
PokerStarJ2: posts the ante $1
spzilla: posts the ante $1
pelyatww: posts the ante $1","
pelyatww: posts the ante $1"
240969781704,$2.50/$5.00 USD,2023/01/07 2:49:09 ET,Ancha II,9,8,"
Seat 1: kelele45 ($686.05 in chips)
Seat 2: ljryviltj ($500 in chips)
Seat 3: oledgyk ($502 in chips)
Seat 4: RAidakCo ($648.41 in chips)
Seat 5: typ6oky3mu4 ($501.10 in chips)
Seat 6: AlexeSsz ($500 in chips)
Seat 7: PokerStarJ2 ($603.37 in chips)
Seat 8: spzilla ($588.17 in chips)
Seat 9: pelyatww ($500 in chips)","
Seat 9: pelyatww ($500 in chips)","
pelyatww: posts small blind $2.50
kelele45: posts big blind $5
kelele45: posts the ante $1
ljryviltj: posts the ante $1
oledgyk: posts the ante $1
RAidakCo: posts the ante $1
typ6oky3mu4: posts the ante $1
AlexeSsz: posts the ante $1
PokerStarJ2: posts the ante $1
spzilla: posts the ante $1
pelyatww: posts the ante $1","
pelyatww: posts the ante $1"
240969793051,$2.50/$5.00 USD,2023/01/07 2:50:44 ET,Ancha II,9,1,"
Seat 1: kelele45 ($500 in chips)
Seat 2: ljryviltj ($500 in chips)
Seat 3: oledgyk ($500 in chips)
Seat 4: RAidakCo ($646.41 in chips)
Seat 5: typ6oky3mu4 ($500 in chips)
Seat 6: AlexeSsz ($515.50 in chips)
Seat 7: PokerStarJ2 ($588.82 in chips)
Seat 8: spzilla ($802.85 in chips)
Seat 9: pelyatww ($500 in chips)","
Seat 9: pelyatww ($500 in chips)","
ljryviltj: posts small blind $2.50
oledgyk: posts big blind $5
kelele45: posts the ante $1
ljryviltj: posts the ante $1
oledgyk: posts the ante $1
RAidakCo: posts the ante $1
typ6oky3mu4: posts the ante $1
AlexeSsz: posts the ante $1
PokerStarJ2: posts the ante $1
spzilla: posts the ante $1
pelyatww: posts the ante $1","
pelyatww: posts the ante $1"
